Year,Day,Month,cap_doy,ID,sl,radius,Final.Age,hdate,cap_DATE,cap_DATE_noYear,cap_doy_corr,Increment,IW,hatch_DATE,hatch_DATE_noYear,age_DATE,age_DATE_noYear,HW
2007,21,7,202,764,40,282,91,111,7/21/2007,21-Jul,202,2,1.19,4/21/2007,21-Apr,4/23/2007,23-Apr,pre
2007,21,7,202,765,41,280,82,120,7/21/2007,21-Jul,202,2,1.54,4/30/2007,30-Apr,5/2/2007,2-May,pre
2007,21,7,202,766,47,350,111,91,7/21/2007,21-Jul,202,2,0.933,4/1/2007,1-Apr,4/3/2007,3-Apr,pre
2007,21,7,202,767,40,265,96,106,7/21/2007,21-Jul,202,2,1.011,4/16/2007,16-Apr,4/18/2007,18-Apr,pre
2007,21,7,202,768,45,310,97,105,7/21/2007,21-Jul,202,2,1.859,4/15/2007,15-Apr,4/17/2007,17-Apr,pre
2007,21,7,202,769,45,310,108,94,7/21/2007,21-Jul,202,2,1.162,4/4/2007,4-Apr,4/6/2007,6-Apr,pre
2007,21,7,202,770,42,253,101,101,7/21/2007,21-Jul,202,2,1.456,4/11/2007,11-Apr,4/13/2007,13-Apr,pre
2007,21,7,202,771,48,338,108,94,7/21/2007,21-Jul,202,2,1.016,4/4/2007,4-Apr,4/6/2007,6-Apr,pre
2007,21,7,202,772,44,298,99,103,7/21/2007,21-Jul,202,2,1.036,4/13/2007,13-Apr,4/15/2007,15-Apr,pre
2007,21,7,202,773,44,295,94,108,7/21/2007,21-Jul,202,2,1.914,4/18/2007,18-Apr,4/20/2007,20-Apr,pre
2007,21,7,202,774,41,264,94,108,7/21/2007,21-Jul,202,2,1.45,4/18/2007,18-Apr,4/20/2007,20-Apr,pre
2007,21,7,202,775,43,292,101,101,7/21/2007,21-Jul,202,2,1.102,4/11/2007,11-Apr,4/13/2007,13-Apr,pre
2007,21,7,202,745,49,366,118,84,7/21/2007,21-Jul,202,3,1.516,3/25/2007,25-Mar,3/28/2007,28-Mar,pre
2007,21,7,202,746,46,360,99,103,7/21/2007,21-Jul,202,3,0.927,4/13/2007,13-Apr,4/16/2007,16-Apr,pre
2007,21,7,202,747,48,360,98,104,7/21/2007,21-Jul,202,3,1.618,4/14/2007,14-Apr,4/17/2007,17-Apr,pre
2007,21,7,202,748,44,337,109,93,7/21/2007,21-Jul,202,3,1.139,4/3/2007,3-Apr,4/6/2007,6-Apr,pre
2007,21,7,202,750,47,333,98,104,7/21/2007,21-Jul,202,3,1.195,4/14/2007,14-Apr,4/17/2007,17-Apr,pre
2007,21,7,202,751,40,256,88,114,7/21/2007,21-Jul,202,3,1.426,4/24/2007,24-Apr,4/27/2007,27-Apr,pre
2007,21,7,202,752,48,315,111,91,7/21/2007,21-Jul,202,3,1.408,4/1/2007,1-Apr,4/4/2007,4-Apr,pre
2007,21,7,202,753,43,310,100,102,7/21/2007,21-Jul,202,3,1.201,4/12/2007,12-Apr,4/15/2007,15-Apr,pre
2007,21,7,202,756,43,295,106,96,7/21/2007,21-Jul,202,3,2.659,4/6/2007,6-Apr,4/9/2007,9-Apr,pre
2007,21,7,202,757,46,287,96,106,7/21/2007,21-Jul,202,3,0.818,4/16/2007,16-Apr,4/19/2007,19-Apr,pre
2007,21,7,202,758,44,272,104,98,7/21/2007,21-Jul,202,3,1.373,4/8/2007,8-Apr,4/11/2007,11-Apr,pre
2007,21,7,202,759,42,271,82,120,7/21/2007,21-Jul,202,3,0.91,4/30/2007,30-Apr,5/3/2007,3-May,pre
2007,21,7,202,760,41,265,88,114,7/21/2007,21-Jul,202,3,1.321,4/24/2007,24-Apr,4/27/2007,27-Apr,pre
2007,21,7,202,761,44,265,96,106,7/21/2007,21-Jul,202,3,1.102,4/16/2007,16-Apr,4/19/2007,19-Apr,pre
2007,21,7,202,762,41,280,93,109,7/21/2007,21-Jul,202,3,1.862,4/19/2007,19-Apr,4/22/2007,22-Apr,pre
2007,21,7,202,763,40,299,88,114,7/21/2007,21-Jul,202,3,1.46,4/24/2007,24-Apr,4/27/2007,27-Apr,pre
2007,21,7,202,764,40,282,91,111,7/21/2007,21-Jul,202,3,1.445,4/21/2007,21-Apr,4/24/2007,24-Apr,pre
2007,21,7,202,765,41,280,82,120,7/21/2007,21-Jul,202,3,1.334,4/30/2007,30-Apr,5/3/2007,3-May,pre
2007,21,7,202,766,47,350,111,91,7/21/2007,21-Jul,202,3,0.993,4/1/2007,1-Apr,4/4/2007,4-Apr,pre
2007,21,7,202,767,40,265,96,106,7/21/2007,21-Jul,202,3,0.954,4/16/2007,16-Apr,4/19/2007,19-Apr,pre
2007,21,7,202,768,45,310,97,105,7/21/2007,21-Jul,202,3,1.062,4/15/2007,15-Apr,4/18/2007,18-Apr,pre
2007,21,7,202,769,45,310,108,94,7/21/2007,21-Jul,202,3,1.033,4/4/2007,4-Apr,4/7/2007,7-Apr,pre
2007,21,7,202,770,42,253,101,101,7/21/2007,21-Jul,202,3,1.173,4/11/2007,11-Apr,4/14/2007,14-Apr,pre
2007,21,7,202,771,48,338,108,94,7/21/2007,21-Jul,202,3,1.148,4/4/2007,4-Apr,4/7/2007,7-Apr,pre
2007,21,7,202,772,44,298,99,103,7/21/2007,21-Jul,202,3,0.927,4/13/2007,13-Apr,4/16/2007,16-Apr,pre
2007,21,7,202,773,44,295,94,108,7/21/2007,21-Jul,202,3,1.671,4/18/2007,18-Apr,4/21/2007,21-Apr,pre
2007,21,7,202,774,41,264,94,108,7/21/2007,21-Jul,202,3,1.687,4/18/2007,18-Apr,4/21/2007,21-Apr,pre
2007,21,7,202,775,43,292,101,101,7/21/2007,21-Jul,202,3,1.228,4/11/2007,11-Apr,4/14/2007,14-Apr,pre
2007,21,7,202,745,49,366,118,84,7/21/2007,21-Jul,202,4,1.193,3/25/2007,25-Mar,3/29/2007,29-Mar,pre
2007,21,7,202,746,46,360,99,103,7/21/2007,21-Jul,202,4,0.744,4/13/2007,13-Apr,4/17/2007,17-Apr,pre
2007,21,7,202,747,48,360,98,104,7/21/2007,21-Jul,202,4,2.18,4/14/2007,14-Apr,4/18/2007,18-Apr,pre
2007,21,7,202,748,44,337,109,93,7/21/2007,21-Jul,202,4,1.502,4/3/2007,3-Apr,4/7/2007,7-Apr,pre
2007,21,7,202,750,47,333,98,104,7/21/2007,21-Jul,202,4,1.184,4/14/2007,14-Apr,4/18/2007,18-Apr,pre
2007,21,7,202,751,40,256,88,114,7/21/2007,21-Jul,202,4,1.541,4/24/2007,24-Apr,4/28/2007,28-Apr,pre
2007,21,7,202,752,48,315,111,91,7/21/2007,21-Jul,202,4,2.261,4/1/2007,1-Apr,4/5/2007,5-Apr,pre
2007,21,7,202,753,43,310,100,102,7/21/2007,21-Jul,202,4,1.229,4/12/2007,12-Apr,4/16/2007,16-Apr,pre
2007,21,7,202,756,43,295,106,96,7/21/2007,21-Jul,202,4,2.276,4/6/2007,6-Apr,4/10/2007,10-Apr,pre
2007,21,7,202,757,46,287,96,106,7/21/2007,21-Jul,202,4,0.933,4/16/2007,16-Apr,4/20/2007,20-Apr,pre
2007,21,7,202,758,44,272,104,98,7/21/2007,21-Jul,202,4,0.896,4/8/2007,8-Apr,4/12/2007,12-Apr,pre
2007,21,7,202,759,42,271,82,120,7/21/2007,21-Jul,202,4,1.753,4/30/2007,30-Apr,5/4/2007,4-May,pre
2007,21,7,202,760,41,265,88,114,7/21/2007,21-Jul,202,4,1.251,4/24/2007,24-Apr,4/28/2007,28-Apr,pre
2007,21,7,202,761,44,265,96,106,7/21/2007,21-Jul,202,4,1.106,4/16/2007,16-Apr,4/20/2007,20-Apr,pre
2007,21,7,202,762,41,280,93,109,7/21/2007,21-Jul,202,4,1.77,4/19/2007,19-Apr,4/23/2007,23-Apr,pre
2007,21,7,202,763,40,299,88,114,7/21/2007,21-Jul,202,4,0.945,4/24/2007,24-Apr,4/28/2007,28-Apr,pre
2007,21,7,202,764,40,282,91,111,7/21/2007,21-Jul,202,4,1.407,4/21/2007,21-Apr,4/25/2007,25-Apr,pre
2007,21,7,202,765,41,280,82,120,7/21/2007,21-Jul,202,4,1.285,4/30/2007,30-Apr,5/4/2007,4-May,pre
2007,21,7,202,766,47,350,111,91,7/21/2007,21-Jul,202,4,0.976,4/1/2007,1-Apr,4/5/2007,5-Apr,pre
2007,21,7,202,767,40,265,96,106,7/21/2007,21-Jul,202,4,0.959,4/16/2007,16-Apr,4/20/2007,20-Apr,pre
2007,21,7,202,768,45,310,97,105,7/21/2007,21-Jul,202,4,1.455,4/15/2007,15-Apr,4/19/2007,19-Apr,pre
2007,21,7,202,769,45,310,108,94,7/21/2007,21-Jul,202,4,1.029,4/4/2007,4-Apr,4/8/2007,8-Apr,pre
2007,21,7,202,770,42,253,101,101,7/21/2007,21-Jul,202,4,1.285,4/11/2007,11-Apr,4/15/2007,15-Apr,pre
2007,21,7,202,771,48,338,108,94,7/21/2007,21-Jul,202,4,1.3,4/4/2007,4-Apr,4/8/2007,8-Apr,pre
2007,21,7,202,772,44,298,99,103,7/21/2007,21-Jul,202,4,0.994,4/13/2007,13-Apr,4/17/2007,17-Apr,pre
2007,21,7,202,773,44,295,94,108,7/21/2007,21-Jul,202,4,1.961,4/18/2007,18-Apr,4/22/2007,22-Apr,pre
2007,21,7,202,774,41,264,94,108,7/21/2007,21-Jul,202,4,2.254,4/18/2007,18-Apr,4/22/2007,22-Apr,pre
2007,21,7,202,775,43,292,101,101,7/21/2007,21-Jul,202,4,1.238,4/11/2007,11-Apr,4/15/2007,15-Apr,pre
2007,21,7,202,745,49,366,118,84,7/21/2007,21-Jul,202,5,1.297,3/25/2007,25-Mar,3/30/2007,30-Mar,pre
2007,21,7,202,746,46,360,99,103,7/21/2007,21-Jul,202,5,1.036,4/13/2007,13-Apr,4/18/2007,18-Apr,pre
2007,21,7,202,747,48,360,98,104,7/21/2007,21-Jul,202,5,1.905,4/14/2007,14-Apr,4/19/2007,19-Apr,pre
