Date,TridentTemp,Month,Year
2/16/2014,3.517083333,2,2014
2/17/2014,3.465,2,2014
2/18/2014,3.392916667,2,2014
2/19/2014,3.212916667,2,2014
2/20/2014,3.09,2,2014
2/21/2014,3.142916667,2,2014
2/22/2014,3.309166667,2,2014
2/23/2014,3.400416667,2,2014
2/24/2014,3.344583333,2,2014
2/25/2014,3.4425,2,2014
2/26/2014,3.679583333,2,2014
2/27/2014,3.840416667,2,2014
2/28/2014,3.915833333,2,2014
3/1/2014,3.994583333,3,2014
3/2/2014,4.0625,3,2014
3/3/2014,4.024166667,3,2014
3/4/2014,4.059166667,3,2014
3/5/2014,4.096666667,3,2014
3/6/2014,4.092916667,3,2014
3/7/2014,4.070416667,3,2014
3/8/2014,3.958333333,3,2014
3/9/2014,3.889166667,3,2014
3/10/2014,3.905833333,3,2014
3/11/2014,3.918333333,3,2014
3/12/2014,3.924583333,3,2014
3/13/2014,3.868333333,3,2014
3/14/2014,3.6464,3,2014
3/15/2014,3.49,3,2014
3/16/2014,3.394583333,3,2014
3/17/2014,3.46625,3,2014
3/18/2014,3.671666667,3,2014
3/19/2014,3.7175,3,2014
3/20/2014,3.7825,3,2014
3/21/2014,3.825416667,3,2014
3/22/2014,3.89,3,2014
3/23/2014,3.91,3,2014
3/24/2014,3.960416667,3,2014
3/25/2014,4.050416667,3,2014
3/26/2014,4.06875,3,2014
3/27/2014,4.069166667,3,2014
3/28/2014,4.049166667,3,2014
3/29/2014,4.065416667,3,2014
3/30/2014,4.10875,3,2014
3/31/2014,4.171666667,3,2014
4/1/2014,4.185833333,4,2014
4/2/2014,4.19125,4,2014
4/3/2014,4.213333333,4,2014
4/4/2014,4.23375,4,2014
4/5/2014,4.319583333,4,2014
4/6/2014,4.435416667,4,2014
4/7/2014,4.52375,4,2014
4/8/2014,4.497916667,4,2014
4/9/2014,4.430833333,4,2014
4/10/2014,4.410833333,4,2014
4/11/2014,4.444166667,4,2014
4/12/2014,4.46875,4,2014
4/13/2014,4.497083333,4,2014
4/14/2014,4.55,4,2014
4/15/2014,4.595416667,4,2014
4/16/2014,4.64625,4,2014
4/17/2014,4.695416667,4,2014
4/18/2014,4.778333333,4,2014
4/19/2014,4.78375,4,2014
4/20/2014,4.835,4,2014
4/21/2014,4.915833333,4,2014
4/22/2014,5.020833333,4,2014
4/23/2014,5.094166667,4,2014
4/24/2014,5.190416667,4,2014
4/25/2014,5.19875,4,2014
4/26/2014,5.240833333,4,2014
4/27/2014,5.228333333,4,2014
4/28/2014,5.179166667,4,2014
4/29/2014,5.175833333,4,2014
4/30/2014,5.269583333,4,2014
5/1/2014,5.411666667,5,2014
5/2/2014,5.516666667,5,2014
5/3/2014,5.636666667,5,2014
5/4/2014,5.7375,5,2014
5/5/2014,6.03875,5,2014
5/6/2014,5.919166667,5,2014
5/7/2014,6.049583333,5,2014
5/8/2014,6.159583333,5,2014
5/9/2014,6.231666667,5,2014
5/10/2014,6.340833333,5,2014
5/11/2014,6.420833333,5,2014
5/12/2014,6.5425,5,2014
5/13/2014,6.54875,5,2014
5/14/2014,6.6925,5,2014
5/15/2014,6.564166667,5,2014
5/16/2014,6.585833333,5,2014
5/17/2014,6.68375,5,2014
5/18/2014,6.743333333,5,2014
5/19/2014,6.826666667,5,2014
5/20/2014,6.710833333,5,2014
5/21/2014,6.808333333,5,2014
5/22/2014,6.87,5,2014
5/23/2014,6.947916667,5,2014
5/24/2014,7.01,5,2014
5/25/2014,7.161666667,5,2014
5/26/2014,7.442916667,5,2014
5/27/2014,7.560416667,5,2014
5/28/2014,7.5775,5,2014
5/29/2014,7.541666667,5,2014
5/30/2014,7.45375,5,2014
5/31/2014,7.44625,5,2014
6/1/2014,7.417916667,6,2014
6/2/2014,7.44625,6,2014
