FISHID,Year,Month,Day,SL_mm
BL2164,2014,7,16,53
BL2165,2014,7,16,50
BL2166,2014,7,16,48
BL2167,2014,7,16,39
BL2168,2014,7,16,40
BL2229,2014,8,10,96
BL2230,2014,8,10,112
BL2231,2014,8,10,101
BL2126,2015,7,12,45
BL2127,2015,7,12,46
BL2128,2015,7,16,50
BL2129,2015,7,12,41
BL2200,2015,8,15,99
BL2201,2015,8,15,101
BL2202,2015,8,15,79
BL2203,2015,8,15,85
BL2204,2015,8,15,90
BL2205,2015,8,15,93
BL2206,2015,8,15,106
BL2207,2015,8,15,90
BL2208,2015,8,15,80
BL2209,2015,8,15,98
BL2215,2015,8,26,86
BL2216,2015,8,26,98
BL2217,2015,8,26,91
BL2218,2015,8,26,93
BL2219,2015,8,26,90
BL2220,2015,8,26,99
BL2221,2015,8,26,105
BL2222,2015,8,26,95
BL2223,2015,8,26,102
BL2224,2015,8,26,95
BL2225,2015,8,26,103
BL2226,2015,8,26,95
BL2227,2015,8,26,85
BL2228,2015,8,26,95
BL2307,2015,7,14,48
BL2308,2015,7,14,53
BL2309,2015,7,14,47
BL2310,2015,7,15,53
BL2311,2015,7,15,46
BL2232,2016,7,15,70
BL2233,2016,7,15,72
BL2234,2016,7,15,64
BL2235,2016,7,15,60
BL2236,2016,7,15,70
BL2237,2016,7,15,58
BL2238,2016,7,15,62
BL2239,2016,7,15,68
BL2240,2016,7,15,63
BL2241,2016,7,15,68
BL2242,2016,7,15,52
BL2243,2016,7,15,70
BL2244,2016,7,15,65
BL2245,2016,7,15,71
BL2246,2016,7,15,80
BL2247,2016,7,15,72
BL2248,2016,7,15,73
BL2249,2016,7,15,63
BL2250,2016,7,15,62
BL2251,2016,7,15,57
BL2252,2016,7,15,75
BL2253,2016,7,15,64
BL2254,2016,7,15,63
BL2255,2016,7,15,70
BL2297,2016,7,13,69
BL2298,2016,7,13,62
BL2299,2016,7,13,65
BL2300,2016,7,13,57
BL2301,2016,7,13,52
BL2302,2016,7,13,57
BL2303,2016,7,13,58
BL2304,2016,7,13,54
BL2305,2016,7,13,54
BL2306,2016,7,13,50
BL2333,2016,7,17,64
BL2334,2016,7,17,60
BL2335,2016,7,17,68
BL2336,2016,7,17,60
BL2337,2016,7,17,62
BL2338,2016,7,17,61
BL2339,2016,7,17,62
BL2340,2016,7,17,68
BL2341,2016,7,17,70
BL2342,2016,7,17,60
BL2343,2016,7,17,56
BL2344,2016,7,17,62
BL2345,2016,7,15,57
BL2346,2016,7,15,65
BL2347,2016,7,15,67
BL2256,2017,8,18,92
BL2257,2017,8,18,76
BL2258,2017,8,18,75
BL2259,2017,8,18,79
BL2260,2017,8,18,80
BL2261,2017,8,19,83
BL2262,2017,8,19,87
BL2263,2017,8,19,76
BL2264,2017,8,19,77
BL2265,2017,8,19,76
BL2266,2017,8,22,82
BL2267,2017,8,22,74
BL2268,2017,8,22,78
BL2269,2017,8,22,90
BL2270,2017,8,22,82
BL2271,2017,8,22,55
BL2272,2017,8,19,91
BL2273,2017,8,19,80
BL2274,2017,8,19,88
BL2275,2017,8,19,100
BL2276,2017,8,22,75
BL2277,2017,8,22,96
BL2278,2017,8,22,84
BL2279,2017,8,22,92
BL2280,2017,8,22,77
BL2281,2017,8,22,96
BL2282,2017,8,23,53
BL2283,2017,8,23,52
BL2284,2017,8,23,83
BL2285,2017,8,23,76
BL2286,2017,7,15,70
BL2287,2017,7,15,54
BL2288,2017,7,15,67
BL2289,2017,7,15,70
BL2290,2017,7,15,71
BL2291,2017,7,15,64
BL2292,2017,7,15,61
BL2293,2017,7,15,58
BL2294,2017,7,15,58
BL2295,2017,7,15,58
BL2296,2017,7,15,57
BL2312,2017,7,15,57
BL2313,2017,7,15,57
BL2314,2017,7,15,55
BL2315,2017,7,15,63
BL2316,2017,7,15,60
BL2317,2017,7,15,85
BL2318,2017,7,15,87
BL2319,2017,7,15,60
BL2320,2017,7,15,64
BL2321,2017,7,15,59
BL2322,2017,7,15,65
BL2323,2017,7,15,65
BL2324,2017,7,15,40
BL2325,2017,7,15,35
BL2326,2017,7,15,64
BL2327,2017,7,15,64
BL2328,2017,7,15,38
BL2329,2017,7,15,45
BL2330,2017,7,15,47
BL2331,2017,7,15,58
BL2332,2017,7,15,62
BL2000,2018,7,18,64
BL2001,2018,7,18,71
BL2002,2018,7,18,61
BL2003,2018,7,18,64
BL2004,2018,7,18,63
BL2005,2018,7,18,74
BL2006,2018,7,18,86
BL2007,2018,7,18,87
BL2008,2018,7,18,96
BL2009,2018,7,18,85
BL2010,2018,7,18,62
BL2011,2018,7,17,50
BL2012,2018,7,17,44
BL2013,2018,7,17,52
BL2014,2018,7,17,50
BL2015,2018,7,17,50
BL2016,2018,7,17,56
BL2017,2018,7,15,65
BL2018,2018,7,15,73
BL2019,2018,7,15,54
BL2020,2018,7,15,59
BL2021,2018,7,15,58
BL2022,2018,7,15,54
BL2023,2018,7,15,72
BL2024,2018,7,15,54
BL2025,2018,7,15,85
BL2026,2018,7,18,82
BL2027,2018,7,18,60
BL2028,2018,7,18,78
BL2029,2018,7,18,95
BL2030,2018,7,18,75
BL2031,2018,7,18,83
BL2032,2018,7,18,61
BL2033,2018,7,18,74
BL2034,2018,7,18,67
BL2035,2018,7,15,40
BL2036,2018,7,15,61
BL2037,2018,7,15,62
BL2038,2018,7,15,64
BL2039,2018,7,15,41
BL2040,2018,7,15,49
BL2041,2018,7,15,58
BL2042,2018,7,15,50
BL2043,2018,7,15,56
BL2044,2018,7,15,55
BL2045,2018,7,15,70
BL2169,2018,8,23,123
BL2170,2018,8,23,130
BL2171,2018,8,23,123
BL2172,2018,8,23,110
BL2173,2018,8,23,116
BL2174,2018,8,23,113
BL2175,2018,8,23,112
BL2176,2018,8,23,119
BL2177,2018,8,23,105
BL2178,2018,8,23,103
BL2179,2018,8,23,108
BL2180,2018,8,23,100
BL2181,2018,8,21,82
BL2182,2018,8,21,70
BL2183,2018,8,21,84
BL2184,2018,8,21,90
BL2185,2018,8,21,65
BL2186,2018,8,21,70
BL2187,2018,8,21,65
BL2188,2018,8,21,57
BL2189,2018,8,21,57
BL2190,2018,8,21,90
BL2191,2018,8,21,87
BL2192,2018,8,21,77
BL2193,2018,8,21,73
BL2194,2018,8,21,74
BL2195,2018,8,21,67
BL2196,2018,8,21,69
BL2197,2018,8,23,67
BL2198,2018,8,23,57
BL2199,2018,8,23,64
BL2210,2018,8,21,92
BL2211,2018,8,21,88
BL2212,2018,8,21,78
BL2213,2018,8,21,77
BL2214,2018,8,21,74
BL2350,2019,8,25,89
BL2351,2019,8,25,74
BL2352,2019,8,24,91
BL2353,2019,8,24,108
BL2354,2019,8,24,104
BL2355,2019,8,24,79
BL2356,2019,8,24,84
BL2357,2019,8,24,107
BL2358,2019,8,24,95
BL2359,2019,8,24,95
BL2360,2019,8,24,96
BL2361,2019,8,24,99
BL2362,2019,8,24,83
BL2363,2019,8,24,85
BL2364,2019,8,24,108
BL2365,2019,8,24,82
BL2366,2019,8,24,72
BL2367,2019,8,25,133
BL2368,2019,8,25,83
BL2369,2019,8,25,74
BL2370,2019,8,24,87
BL2371,2019,8,24,89
BL2372,2019,8,24,86
BL2373,2019,8,24,72
BL2374,2019,8,24,91
BL2375,2019,8,24,97
BL2376,2019,8,25,91
BL2377,2019,8,25,92
BL2378,2019,8,25,81
BL2379,2019,7,13,47
BL2380,2019,7,13,53
BL2381,2019,7,13,55
BL2382,2019,7,13,43
BL2383,2019,7,13,43
BL2384,2019,7,13,63
BL2385,2019,7,13,44
BL2386,2019,7,13,60
BL2387,2019,7,13,50
BL2388,2019,7,13,54
BL2389,2019,7,13,56
BL2390,2019,7,13,45
BL2391,2019,7,13,36
BL2392,2019,7,13,45
BL2393,2019,7,13,47
BL2394,2019,7,13,38
BL2395,2019,7,13,47
BL2396,2019,7,13,48
BL2397,2019,7,13,45
BL2398,2019,7,13,42
BL2399,2019,7,13,45
BL2400,2019,7,13,46
BL2401,2019,7,13,51
BL2402,2019,7,13,49
BL2403,2019,7,13,56
BL2404,2019,7,13,60
BL2405,2019,7,13,55
BL2406,2019,7,13,57
BL2407,2019,7,13,56
BL2408,2019,7,13,47
BL2409,2019,7,13,48
