Year,ID,sl,radius,Increment,IW,Final.Age,bcSL,bc_gr,hdate,hatch_DATE,hatch_DATE_noYear,age_DATE,age_DATE_noYear,HW
2007,772,44,298,2,1.036,99,4.180846465,0.143390697,103,4/13/2007,13-Apr,4/15/2007,15-Apr,pre
2007,773,44,295,2,1.914,94,4.466261447,0.26768495,108,4/18/2007,18-Apr,4/20/2007,20-Apr,pre
2007,774,41,264,2,1.45,94,4.323204834,0.210365115,108,4/18/2007,18-Apr,4/20/2007,20-Apr,pre
2007,775,43,292,2,1.102,101,4.243729407,0.15186702,101,4/11/2007,11-Apr,4/13/2007,13-Apr,pre
2007,745,49,366,3,1.516,118,4.403967374,0.191128736,84,3/25/2007,25-Mar,3/28/2007,28-Mar,pre
2007,746,46,360,3,0.927,99,4.282873158,0.110957446,103,4/13/2007,13-Apr,4/16/2007,16-Apr,pre
2007,747,48,360,3,1.618,98,4.500268415,0.202867849,104,4/14/2007,14-Apr,4/17/2007,17-Apr,pre
2007,748,44,337,3,1.139,109,4.346253172,0.13894206,93,4/3/2007,3-Apr,4/6/2007,6-Apr,pre
2007,750,47,333,3,1.195,98,4.425617631,0.158610028,104,4/14/2007,14-Apr,4/17/2007,17-Apr,pre
2007,751,40,256,3,1.426,88,4.575151331,0.207807981,114,4/24/2007,24-Apr,4/27/2007,27-Apr,pre
2007,752,48,315,3,1.408,111,4.659473779,0.202439825,91,4/1/2007,1-Apr,4/4/2007,4-Apr,pre
2007,753,43,310,3,1.201,100,4.364793641,0.155635588,102,4/12/2007,12-Apr,4/15/2007,15-Apr,pre
2007,756,43,295,3,2.659,106,4.889006652,0.362603388,96,4/6/2007,6-Apr,4/9/2007,9-Apr,pre
2007,757,46,287,3,0.818,96,4.255290566,0.123556449,106,4/16/2007,16-Apr,4/19/2007,19-Apr,pre
2007,758,44,272,3,1.373,104,4.38536516,0.208770976,98,4/8/2007,8-Apr,4/11/2007,11-Apr,pre
2007,759,42,271,3,0.91,82,4.42469255,0.131968359,120,4/30/2007,30-Apr,5/3/2007,3-May,pre
2007,760,41,265,3,1.321,88,4.537472907,0.190903283,114,4/24/2007,24-Apr,4/27/2007,27-Apr,pre
2007,761,44,265,3,1.102,96,4.422412167,0.172133516,106,4/16/2007,16-Apr,4/19/2007,19-Apr,pre
2007,762,41,280,3,1.862,93,4.670258603,0.254229818,109,4/19/2007,19-Apr,4/22/2007,22-Apr,pre
2007,763,40,299,3,1.46,88,4.420376374,0.181291118,114,4/24/2007,24-Apr,4/27/2007,27-Apr,pre
2007,764,40,282,3,1.445,91,4.445641134,0.190573168,111,4/21/2007,21-Apr,4/24/2007,24-Apr,pre
2007,765,41,280,3,1.334,82,4.495902278,0.182138871,120,4/30/2007,30-Apr,5/3/2007,3-May,pre
2007,766,47,350,3,0.993,111,4.270475041,0.125241798,91,4/1/2007,1-Apr,4/4/2007,4-Apr,pre
2007,767,40,265,3,0.954,96,4.335742878,0.134150164,106,4/16/2007,16-Apr,4/19/2007,19-Apr,pre
2007,768,45,310,3,1.062,97,4.457060089,0.144662915,105,4/15/2007,15-Apr,4/18/2007,18-Apr,pre
2007,769,45,310,3,1.033,108,4.327925961,0.14071261,94,4/4/2007,4-Apr,4/7/2007,7-Apr,pre
2007,770,42,253,3,1.173,101,4.539184585,0.182621767,101,4/11/2007,11-Apr,4/14/2007,14-Apr,pre
2007,771,48,338,3,1.148,108,4.366905204,0.153542998,94,4/4/2007,4-Apr,4/7/2007,7-Apr,pre
