,Dates,SplineFit
4211,7/27/2017,5.965506533
4212,7/28/2017,5.970099726
4213,7/29/2017,5.974416609
4214,7/30/2017,5.978482514
4215,7/31/2017,5.982322773
4216,8/1/2017,5.985962718
4217,8/2/2017,5.989427682
4218,8/3/2017,5.992742995
4219,8/4/2017,5.995933991
4220,8/5/2017,5.999026001
4221,8/6/2017,6.002044357
4222,8/7/2017,6.005014391
4223,8/8/2017,6.007961435
4224,8/9/2017,6.010910822
4225,8/10/2017,6.013887883
4226,8/11/2017,6.01691795
4227,8/12/2017,6.020026355
4228,8/13/2017,6.023238431
4229,8/14/2017,6.026579509
4230,8/15/2017,6.030074921
4231,8/16/2017,6.03375
4232,8/17/2017,6.037623506
4233,8/18/2017,6.041687917
4234,8/19/2017,6.04592914
4235,8/20/2017,6.050333082
4236,8/21/2017,6.054885648
4237,8/22/2017,6.059572746
4238,8/23/2017,6.064380282
4239,8/24/2017,6.069294164
4240,8/25/2017,6.074300297
4241,8/26/2017,6.079384588
4242,8/27/2017,6.084532945
4243,8/28/2017,6.089731273
4244,8/29/2017,6.09496548
4245,8/30/2017,6.100221471
4246,8/31/2017,6.105485155
4247,9/1/2017,6.110742436
4248,9/2/2017,6.115979223
4249,9/3/2017,6.121181421
4250,9/4/2017,6.126334938
4251,9/5/2017,6.13142568
4252,9/6/2017,6.136439554
4253,9/7/2017,6.141362466
4254,9/8/2017,6.146180323
4255,9/9/2017,6.150879031
4256,9/10/2017,6.155444498
4257,9/11/2017,6.15986263
4258,9/12/2017,6.164119334
4259,9/13/2017,6.168200516
4260,9/14/2017,6.172092084
4261,9/15/2017,6.175779943
4262,9/16/2017,6.17925
4263,9/17/2017,6.182493249
4264,9/18/2017,6.185521027
4265,9/19/2017,6.188349758
4266,9/20/2017,6.190995867
4267,9/21/2017,6.193475778
4268,9/22/2017,6.195805915
4269,9/23/2017,6.198002703
4270,9/24/2017,6.200082565
4271,9/25/2017,6.202061925
4272,9/26/2017,6.203957209
4273,9/27/2017,6.20578484
4274,9/28/2017,6.207561242
4275,9/29/2017,6.20930284
4276,9/30/2017,6.211026058
4277,10/1/2017,6.21274732
4278,10/2/2017,6.21448305
4279,10/3/2017,6.216249673
4280,10/4/2017,6.218063612
4281,10/5/2017,6.219941292
4282,10/6/2017,6.221899138
4283,10/7/2017,6.223953572
4284,10/8/2017,6.22612102
4285,10/9/2017,6.228417906
4286,10/10/2017,6.230860654
4287,10/11/2017,6.233465689
4288,10/12/2017,6.236249433
4289,10/13/2017,6.239228312
4290,10/14/2017,6.24241875
4291,10/15/2017,6.245837172
4292,10/16/2017,6.2495
4293,10/17/2017,6.253423001
4294,10/18/2017,6.257619303
4295,10/19/2017,6.262101376
4296,10/20/2017,6.26688169
4297,10/21/2017,6.271972715
4298,10/22/2017,6.277386921
4299,10/23/2017,6.283136777
4300,10/24/2017,6.289234753
4301,10/25/2017,6.29569332
4302,10/26/2017,6.302524946
4303,10/27/2017,6.309742102
4304,10/28/2017,6.317357258
4305,10/29/2017,6.325382883
4306,10/30/2017,6.333831447
4307,10/31/2017,6.34271542
4308,11/1/2017,6.352047273
4309,11/2/2017,6.361839473
4310,11/3/2017,6.372104493
4311,11/4/2017,6.382854801
4312,11/5/2017,6.394102866
4313,11/6/2017,6.40586116
4314,11/7/2017,6.418142152
4315,11/8/2017,6.430958311
4316,11/9/2017,6.444322108
4317,11/10/2017,6.458246012
4318,11/11/2017,6.472742493
4319,11/12/2017,6.487824021
4320,11/13/2017,6.503503066
4321,11/14/2017,6.519792098
4322,11/15/2017,6.536703586
4323,11/16/2017,6.55425
4324,11/17/2017,6.572428684
4325,11/18/2017,6.591176479
4326,11/19/2017,6.610415098
4327,11/20/2017,6.630066256
4328,11/21/2017,6.650051667
4329,11/22/2017,6.670293045
4330,11/23/2017,6.690712105
4331,11/24/2017,6.711230561
4332,11/25/2017,6.731770126
4333,11/26/2017,6.752252516
4334,11/27/2017,6.772599444
4335,11/28/2017,6.792732625
4336,11/29/2017,6.812573773
4337,11/30/2017,6.832044603
4338,12/1/2017,6.851066827
4339,12/2/2017,6.869562161
4340,12/3/2017,6.88745232
4341,12/4/2017,6.904659016
4342,12/5/2017,6.921103965
4343,12/6/2017,6.93670888
4344,12/7/2017,6.951395477
4345,12/8/2017,6.965085468
4346,12/9/2017,6.977700569
4347,12/10/2017,6.989162493
4348,12/11/2017,6.999392955
4349,12/12/2017,7.00831367
4350,12/13/2017,7.015846351
4351,12/14/2017,7.021912712
4352,12/15/2017,7.026434468
4353,12/16/2017,7.029333333
4354,12/17/2017,7.030556587
4355,12/18/2017,7.030153774
4356,12/19/2017,7.028200004
4357,12/20/2017,7.024770385
4358,12/21/2017,7.019940027
4359,12/22/2017,7.01378404
4360,12/23/2017,7.006377532
4361,12/24/2017,6.997795615
4362,12/25/2017,6.988113396
4363,12/26/2017,6.977405986
4364,12/27/2017,6.965748494
4365,12/28/2017,6.953216029
4366,12/29/2017,6.939883702
4367,12/30/2017,6.92582662
4368,12/31/2017,6.911119894
4369,1/1/2018,6.895838634
4370,1/2/2018,6.880057949
4371,1/3/2018,6.863852947
4372,1/4/2018,6.847298739
4373,1/5/2018,6.830470435
4374,1/6/2018,6.813443143
4375,1/7/2018,6.796291973
4376,1/8/2018,6.779092035
4377,1/9/2018,6.761918438
4378,1/10/2018,6.744846291
4379,1/11/2018,6.727950704
4380,1/12/2018,6.711306786
4381,1/13/2018,6.694989648
4382,1/14/2018,6.679074398
4383,1/15/2018,6.663636145
4384,1/16/2018,6.64875
4385,1/17/2018,6.634470766
4386,1/18/2018,6.620772025
4387,1/19/2018,6.607607054
4388,1/20/2018,6.594929128
4389,1/21/2018,6.582691524
4390,1/22/2018,6.570847518
4391,1/23/2018,6.559350387
4392,1/24/2018,6.548153407
4393,1/25/2018,6.537209854
4394,1/26/2018,6.526473004
4395,1/27/2018,6.515896134
4396,1/28/2018,6.505432521
4397,1/29/2018,6.495035439
4398,1/30/2018,6.484658167
4399,1/31/2018,6.474253979
4400,2/1/2018,6.463776153
4401,2/2/2018,6.453177964
4402,2/3/2018,6.442412689
4403,2/4/2018,6.431433604
4404,2/5/2018,6.420193986
4405,2/6/2018,6.408647111
4406,2/7/2018,6.396746255
4407,2/8/2018,6.384444694
4408,2/9/2018,6.371695705
4409,2/10/2018,6.358452564
4410,2/11/2018,6.344668547
4411,2/12/2018,6.330296931
4412,2/13/2018,6.315290992
4413,2/14/2018,6.299604007
4414,2/15/2018,6.28318925
4415,2/16/2018,6.266
4416,2/17/2018,6.248007796
4417,2/18/2018,6.229257238
4418,2/19/2018,6.209811188
4419,2/20/2018,6.18973251
4420,2/21/2018,6.169084066
4421,2/22/2018,6.147928721
4422,2/23/2018,6.126329337
4423,2/24/2018,6.104348777
4424,2/25/2018,6.082049905
4425,2/26/2018,6.059495584
4426,2/27/2018,6.036748677
4427,2/28/2018,6.013872046
4428,3/1/2018,5.990928556
4429,3/2/2018,5.96798107
4430,3/3/2018,5.94509245
4431,3/4/2018,5.92232556
4432,3/5/2018,5.899743263
4433,3/6/2018,5.877408422
4434,3/7/2018,5.8553839
4435,3/8/2018,5.833732561
4436,3/9/2018,5.812517268
4437,3/10/2018,5.791800883
4438,3/11/2018,5.771646271
4439,3/12/2018,5.752116293
4440,3/13/2018,5.733273814
4441,3/14/2018,5.715181697
4442,3/15/2018,5.697902805
4443,3/16/2018,5.6815
4444,3/17/2018,5.666021309
4445,3/18/2018,5.651455405
4446,3/19/2018,5.637776124
4447,3/20/2018,5.624957303
4448,3/21/2018,5.612972777
4449,3/22/2018,5.601796383
4450,3/23/2018,5.591401957
4451,3/24/2018,5.581763335
4452,3/25/2018,5.572854353
4453,3/26/2018,5.564648847
4454,3/27/2018,5.557120653
4455,3/28/2018,5.550243608
4456,3/29/2018,5.543991548
4457,3/30/2018,5.538338308
4458,3/31/2018,5.533257725
4459,4/1/2018,5.528723635
4460,4/2/2018,5.524709874
4461,4/3/2018,5.521190278
4462,4/4/2018,5.518138684
4463,4/5/2018,5.515528926
4464,4/6/2018,5.513334843
4465,4/7/2018,5.511530269
4466,4/8/2018,5.510089041
4467,4/9/2018,5.508984995
4468,4/10/2018,5.508191967
4469,4/11/2018,5.507683793
4470,4/12/2018,5.507434309
4471,4/13/2018,5.507417352
4472,4/14/2018,5.507606757
4473,4/15/2018,5.507976361
4474,4/16/2018,5.5085
4475,4/17/2018,5.509154961
4476,4/18/2018,5.509932337
4477,4/19/2018,5.510826673
4478,4/20/2018,5.511832514
4479,4/21/2018,5.512944403
4480,4/22/2018,5.514156885
4481,4/23/2018,5.515464505
4482,4/24/2018,5.516861807
4483,4/25/2018,5.518343336
4484,4/26/2018,5.519903635
4485,4/27/2018,5.521537251
4486,4/28/2018,5.523238725
4487,4/29/2018,5.525002605
4488,4/30/2018,5.526823433
4489,5/1/2018,5.528695754
4490,5/2/2018,5.530614114
4491,5/3/2018,5.532573055
4492,5/4/2018,5.534567123
4493,5/5/2018,5.536590862
4494,5/6/2018,5.538638817
4495,5/7/2018,5.540705531
4496,5/8/2018,5.542785551
4497,5/9/2018,5.544873419
4498,5/10/2018,5.54696368
4499,5/11/2018,5.54905088
4500,5/12/2018,5.551129561
4501,5/13/2018,5.55319427
4502,5/14/2018,5.555239549
4503,5/15/2018,5.557259945
4504,5/16/2018,5.55925
4505,5/17/2018,5.561206236
4506,5/18/2018,5.563133078
4507,5/19/2018,5.565036928
4508,5/20/2018,5.566924187
4509,5/21/2018,5.568801257
4510,5/22/2018,5.570674539
4511,5/23/2018,5.572550435
4512,5/24/2018,5.574435346
4513,5/25/2018,5.576335673
4514,5/26/2018,5.578257819
4515,5/27/2018,5.580208185
4516,5/28/2018,5.582193172
4517,5/29/2018,5.584219182
4518,5/30/2018,5.586292616
4519,5/31/2018,5.588419876
4520,6/1/2018,5.590607364
4521,6/2/2018,5.59286148
4522,6/3/2018,5.595188627
4523,6/4/2018,5.597595206
4524,6/5/2018,5.600087618
4525,6/6/2018,5.602672266
4526,6/7/2018,5.60535555
4527,6/8/2018,5.608143872
4528,6/9/2018,5.611043633
4529,6/10/2018,5.614061236
4530,6/11/2018,5.617203081
4531,6/12/2018,5.62047557
4532,6/13/2018,5.623885106
4533,6/14/2018,5.627438088
4534,6/15/2018,5.631140919
4535,6/16/2018,5.635
4536,6/17/2018,5.639020495
4537,6/18/2018,5.643202614
4538,6/19/2018,5.64754533
4539,6/20/2018,5.652047615
4540,6/21/2018,5.656708443
4541,6/22/2018,5.661526785
4542,6/23/2018,5.666501614
4543,6/24/2018,5.671631902
4544,6/25/2018,5.676916623
4545,6/26/2018,5.682354749
4546,6/27/2018,5.687945252
4547,6/28/2018,5.693687104
4548,6/29/2018,5.69957928
4549,6/30/2018,5.70562075
4550,7/1/2018,5.711810488
4551,7/2/2018,5.718147466
4552,7/3/2018,5.724630656
4553,7/4/2018,5.731259032
4554,7/5/2018,5.738031566
4555,7/6/2018,5.74494723
4556,7/7/2018,5.752004996
4557,7/8/2018,5.759203839
4558,7/9/2018,5.766542729
4559,7/10/2018,5.77402064
4560,7/11/2018,5.781636544
4561,7/12/2018,5.789389413
4562,7/13/2018,5.797278221
4563,7/14/2018,5.80530194
4564,7/15/2018,5.813459542
4565,7/16/2018,5.82175
4566,7/17/2018,5.830168198
4567,7/18/2018,5.838692667
4568,7/19/2018,5.84729785
4569,7/20/2018,5.85595819
4570,7/21/2018,5.864648128
4571,7/22/2018,5.873342109
4572,7/23/2018,5.882014574
4573,7/24/2018,5.890639966
4574,7/25/2018,5.899192728
4575,7/26/2018,5.907647302
4576,7/27/2018,5.915978131
4577,7/28/2018,5.924159658
4578,7/29/2018,5.932166326
4579,7/30/2018,5.939972577
4580,7/31/2018,5.947552853
4581,8/1/2018,5.954881598
4582,8/2/2018,5.961933254
4583,8/3/2018,5.968682264
4584,8/4/2018,5.975103071
4585,8/5/2018,5.981170116
4586,8/6/2018,5.986857843
4587,8/7/2018,5.992140695
4588,8/8/2018,5.996993114
4589,8/9/2018,6.001389542
4590,8/10/2018,6.005304423
4591,8/11/2018,6.008712199
4592,8/12/2018,6.011587313
4593,8/13/2018,6.013904208
4594,8/14/2018,6.015637325
4595,8/15/2018,6.016761108
4596,8/16/2018,6.01725
4597,8/17/2018,6.01709462
4598,8/18/2018,6.016350299
4599,8/19/2018,6.015088543
4600,8/20/2018,6.013380859
4601,8/21/2018,6.011298755
4602,8/22/2018,6.008913738
4603,8/23/2018,6.006297315
4604,8/24/2018,6.003520994
4605,8/25/2018,6.000656281
4606,8/26/2018,5.997774683
4607,8/27/2018,5.994947708
4608,8/28/2018,5.992246863
4609,8/29/2018,5.989743655
4610,8/30/2018,5.987509591
4611,8/31/2018,5.985616178
4612,9/1/2018,5.984134924
4613,9/2/2018,5.983137335
4614,9/3/2018,5.98269492
4615,9/4/2018,5.982879184
4616,9/5/2018,5.983761636
4617,9/6/2018,5.985413781
4618,9/7/2018,5.987907129
4619,9/8/2018,5.991313184
4620,9/9/2018,5.995703456
4621,9/10/2018,6.00114945
4622,9/11/2018,6.007722675
4623,9/12/2018,6.015494637
4624,9/13/2018,6.024536843
4625,9/14/2018,6.034920801
4626,9/15/2018,6.046718018
4627,9/16/2018,6.06
4628,9/17/2018,6.074810124
4629,9/18/2018,6.091079239
4630,9/19/2018,6.108710063
4631,9/20/2018,6.127605314
4632,9/21/2018,6.147667711
4633,9/22/2018,6.16879997
4634,9/23/2018,6.190904811
4635,9/24/2018,6.213884951
4636,9/25/2018,6.237643108
4637,9/26/2018,6.262082
4638,9/27/2018,6.287104346
4639,9/28/2018,6.312612863
4640,9/29/2018,6.338510269
4641,9/30/2018,6.364699283
4642,10/1/2018,6.391082621
4643,10/2/2018,6.417563004
4644,10/3/2018,6.444043147
4645,10/4/2018,6.47042577
4646,10/5/2018,6.496613591
4647,10/6/2018,6.522509327
4648,10/7/2018,6.548015696
4649,10/8/2018,6.573035417
4650,10/9/2018,6.597471207
4651,10/10/2018,6.621225785
4652,10/11/2018,6.644201869
4653,10/12/2018,6.666302176
4654,10/13/2018,6.687429424
4655,10/14/2018,6.707486333
4656,10/15/2018,6.726375618
4657,10/16/2018,6.744
4658,10/17/2018,6.760288132
4659,10/18/2018,6.775272416
4660,10/19/2018,6.789011192
4661,10/20/2018,6.801562796
4662,10/21/2018,6.812985569
4663,10/22/2018,6.823337849
4664,10/23/2018,6.832677974
4665,10/24/2018,6.841064283
4666,10/25/2018,6.848555115
4667,10/26/2018,6.855208808
4668,10/27/2018,6.861083701
4669,10/28/2018,6.866238132
4670,10/29/2018,6.870730441
4671,10/30/2018,6.874618965
4672,10/31/2018,6.877962043
4673,11/1/2018,6.880818015
4674,11/2/2018,6.883245218
4675,11/3/2018,6.885301991
4676,11/4/2018,6.887046673
4677,11/5/2018,6.888537602
4678,11/6/2018,6.889833118
4679,11/7/2018,6.890991558
4680,11/8/2018,6.892071261
4681,11/9/2018,6.893130566
4682,11/10/2018,6.894227812
4683,11/11/2018,6.895421337
4684,11/12/2018,6.89676948
4685,11/13/2018,6.898330579
4686,11/14/2018,6.900162973
4687,11/15/2018,6.902325
4688,11/16/2018,6.904875
4689,11/17/2018,6.907857037
4690,11/18/2018,6.911258081
4691,11/19/2018,6.915050827
4692,11/20/2018,6.919207973
4693,11/21/2018,6.923702213
4694,11/22/2018,6.928506245
4695,11/23/2018,6.933592764
4696,11/24/2018,6.938934465
4697,11/25/2018,6.944504046
4698,11/26/2018,6.950274202
4699,11/27/2018,6.956217629
4700,11/28/2018,6.962307024
4701,11/29/2018,6.968515081
4702,11/30/2018,6.974814498
4703,12/1/2018,6.981177971
4704,12/2/2018,6.987578194
4705,12/3/2018,6.993987865
4706,12/4/2018,7.00037968
4707,12/5/2018,7.006726334
4708,12/6/2018,7.013000523
4709,12/7/2018,7.019174944
4710,12/8/2018,7.025222293
4711,12/9/2018,7.031115265
4712,12/10/2018,7.036826557
4713,12/11/2018,7.042328865
4714,12/12/2018,7.047594884
4715,12/13/2018,7.052597312
4716,12/14/2018,7.057308843
4717,12/15/2018,7.061702173
4718,12/16/2018,7.06575
4719,12/17/2018,7.069431411
4720,12/18/2018,7.072751066
4721,12/19/2018,7.075720015
4722,12/20/2018,7.078349311
4723,12/21/2018,7.080650005
4724,12/22/2018,7.082633148
4725,12/23/2018,7.084309791
4726,12/24/2018,7.085690987
4727,12/25/2018,7.086787787
4728,12/26/2018,7.087611242
4729,12/27/2018,7.088172404
4730,12/28/2018,7.088482324
4731,12/29/2018,7.088552054
4732,12/30/2018,7.088392644
4733,12/31/2018,7.088015148
4734,1/1/2019,7.087430616
4735,1/2/2019,7.086650099
4736,1/3/2019,7.085684649
4737,1/4/2019,7.084545318
4738,1/5/2019,7.083243157
4739,1/6/2019,7.081789217
4740,1/7/2019,7.080194551
4741,1/8/2019,7.078470209
4742,1/9/2019,7.076627243
4743,1/10/2019,7.074676705
4744,1/11/2019,7.072629645
4745,1/12/2019,7.070497116
4746,1/13/2019,7.068290169
4747,1/14/2019,7.066019855
4748,1/15/2019,7.063697226
4749,1/16/2019,7.061333333
4750,1/17/2019,7.058940203
4751,1/18/2019,7.056533759
4752,1/19/2019,7.054130902
4753,1/20/2019,7.051748529
4754,1/21/2019,7.04940354
4755,1/22/2019,7.047112834
4756,1/23/2019,7.04489331
4757,1/24/2019,7.042761866
4758,1/25/2019,7.040735403
4759,1/26/2019,7.038830818
4760,1/27/2019,7.037065011
4761,1/28/2019,7.035454881
4762,1/29/2019,7.034017326
4763,1/30/2019,7.032769247
4764,1/31/2019,7.031727541
4765,2/1/2019,7.030909108
4766,2/2/2019,7.030330847
4767,2/3/2019,7.030009656
4768,2/4/2019,7.029962435
4769,2/5/2019,7.030206084
4770,2/6/2019,7.0307575
4771,2/7/2019,7.031633582
4772,2/8/2019,7.032851231
4773,2/9/2019,7.034427344
4774,2/10/2019,7.036378821
4775,2/11/2019,7.038722561
4776,2/12/2019,7.041475463
4777,2/13/2019,7.044654425
4778,2/14/2019,7.048276347
